https://www.menu.com.do/#!/n/100_Montaditos,"Av. John F. Kennedy Esq. Av. Lincoln. Agora Mall 4to Nivel,  Serallés, Santo Domingo",(809) 362-2627
https://www.menu.com.do/#!/n/228_Restobar,"Calle Federico Geraldino no.14, Santo Domingo",N/A
https://www.menu.com.do/#!/n/3Mariachis,"Ave. Roberto Pastoriza esq. Federico Geraldino,  Piantini, Santo Domingo",(809) 542-8888
https://www.menu.com.do/#!/n/34_Steak_Bar_and_Lounge,"Av. Romulo Betancourt #435 B,,  Bella Vista, Santo Domingo",(809)-793-0587
https://www.menu.com.do/#!/n/30_Sinco,"La Marina, Casa de Campo, La Romana",(809) 523-2382
https://www.menu.com.do/#!/n/88_Grill,"Av. San Vicente de Paul, Plaza Mega Centro, Food Court,  Zona Oriental, Santo Domingo",N/A
https://www.menu.com.do/#!/n/A_la_Mesa,N/A,N/A
https://www.menu.com.do/#!/n/Abudnova_Bakery_Coffee_Shop,"C/ Francisco Prats Ramirez #407,  Evaristo Morales, Santo Domingo",N/A
https://www.menu.com.do/#!/n/Acentos_Bistro,"Punta Cana Gallery , Punta Cana Village, Bávaro - Punta Cana",(809) 959-0161
https://www.menu.com.do/#!/n/Adrian_Tropical,"Ave. Abraham Lincoln esq. Rafael Augusto Sánchez #803 al lado de L´Oscar,  Piantini, Santo Domingo",(809) 565-9236
https://www.menu.com.do/#!/n/Affogato_Café,N/A,N/A
https://www.menu.com.do/#!/n/Agatha_Embassy_Suites_by_Hilton,"Avenida Tiradentes #32, Centro Comercial Silver Sun Gallery,  Naco, Santo Domingo",(809) 685-0001
https://www.menu.com.do/#!/n/Agentao,"Av. Monumental #12, Los Angeles Paralelos,  Los Angeles, Santo Domingo",(809) 692-7555
https://www.menu.com.do/#!/n/Aglio_&_Olio,N/A,N/A
https://www.menu.com.do/#!/n/Agualaboca,N/A,N/A
https://www.menu.com.do/#!/n/Aguecoco,"Catering, Santo Domingo",(829) 342-9747
https://www.menu.com.do/#!/n/Aguerito´S,N/A,N/A
https://www.menu.com.do/#!/n/Ajuala,"Calle Andres Julio Aybar #13,  .Detrás de Popular de la Lope de Vega,  Piantini, Santo Domingo",(829)-547-7503
https://www.menu.com.do/#!/n/Al_Grill,"Av. John F. Kennedy , Plaza Sambil, Nivel Feria Local F-17,  Miraflores, Santo Domingo",(829) 547-4360
https://www.menu.com.do/#!/n/Alfresco,"Roberto Pastoriza #3, casi esq. Ortega y Gasset,  Naco, Santo Domingo",(809) 381-2621
https://www.menu.com.do/#!/n/Allegra,N/A,N/A
https://www.menu.com.do/#!/n/Alma_Llanera,"Av. Enrique Jiménez Moya,  La Julia, Santo Domingo",(809)- 508-632
https://www.menu.com.do/#!/n/Alta_Vista,"Carretera La Vega, Jarabacoa, Entrando por la planta Tropigas a la derecha, Cercado Alto, Bayacanes, Jarabacoa",(809) 277-0290
https://www.menu.com.do/#!/n/AM_PM,"La Taberna de Charlo, Bávaro - Punta Cana",(809) 409-7394
